,UCL - Staff,UCL - Students,UCL - Unique Connections,Total Unique Vistor Conections,Total Unique Connection
05-Oct,1826,4581,6407,2492,8899
06-Oct,1939,4679,6618,2623,9241
07-Oct,1914,4790,6704,2731,9435
08-Oct,1913,4607,6520,2560,9080
09-Oct,1820,4655,6475,2909,9384
10-Oct,521,3056,3577,2459,6036
11-Oct,452,2906,3358,2074,5432
12-Oct,1954,4857,6811,2541,9352
13-Oct,2028,4904,6932,2604,9536
14-Oct,1962,5026,6988,2753,9741
15-Oct,2000,5003,7003,2916,9919
16-Oct,1854,4929,6783,3069,9852
17-Oct,536,3171,3707,2305,6012
18-Oct,449,2965,3414,1880,5294
19-Oct,1936,5064,7000,2670,9670
20-Oct,2069,5195,7264,2791,10055
21-Oct,1963,4969,6932,1967,8899
22-Oct,2110,5377,7487,3118,10605
23-Oct,1916,5428,7344,3089,10433
24-Oct,550,3470,4020,2486,6506
25-Oct,445,3309,3754,2240,5994
26-Oct,1947,5394,7341,2895,10236
27-Oct,2095,5350,7445,2898,10343
28-Oct,1982,5422,7404,3032,10436
29-Oct,2007,5253,7260,2897,10157
30-Oct,1854,5466,7320,3378,10698
31-Oct,573,3662,4235,2654,6889
01-Nov,573,3662,4235,6201,10436
02-Nov,2049,5377,7426,3010,10436
03-Nov,2226,5451,7677,3226,10903
04-Nov,2181,5385,7566,3425,10991
05-Nov,2265,4269,6534,2220,8754
06-Nov,1943,4714,6657,2324,8981
07-Nov,596,3162,3758,1856,5614
08-Nov,497,2794,3291,1522,4813
09-Nov,2016,4700,6716,2444,9160
10-Nov,2154,4690,6844,2592,9436
11-Nov,2115,4739,6854,2540,9394
12-Nov,2094,4723,6817,2663,9480
13-Nov,1954,4707,6661,2778,9439
14-Nov,592,2991,3583,1688,5271
15-Nov,502,2824,3326,1612,4938
16-Nov,2104,5026,7130,2534,9664
17-Nov,2469,4752,7221,2636,9857
18-Nov,2210,5057,7267,2541,9808
19-Nov,2123,4980,7103,2629,9732
20-Nov,1997,5135,7132,2699,9831
21-Nov,594,3354,3948,2029,5977
22-Nov,509,3116,3625,1794,5419
23-Nov,2067,5340,7407,2611,10018
24-Nov,2193,5357,7550,2683,10233
25-Nov,2119,5398,7517,2729,10246
26-Nov,0,0,0,0,0
27-Nov,1885,5144,7029,2873,9902
28-Nov,561,3358,3919,2214,6133
29-Nov,465,3059,3524,1801,5325
30-Nov,2028,5337,7365,2589,9954
01-Dec,2150,5440,7590,2741,10331
02-Dec,2149,5530,7679,3072,10751
03-Dec,2066,5020,7086,2898,9984
04-Dec,1919,5258,7177,3316,10493
05-Dec,625,3605,4230,3074,7304
06-Dec,502,3179,3681,2304,5985
07-Dec,2015,5092,7107,2768,9875
08-Dec,2125,5006,7132,2736,9868
09-Dec,2098,4933,7031,2868,9899
10-Dec,2070,4675,6745,2750,9495
11-Dec,1917,4717,6634,3155,9789
12-Dec,601,3047,3648,2700,6348
13-Dec,486,2426,2912,1844,4756
14-Dec,1914,3994,5908,2302,8210
15-Dec,1961,4039,6000,2846,8846
16-Dec,1860,3512,5372,1922,7294
17-Dec,1765,3334,5099,2278,7377
18-Dec,1525,2935,4460,1964,6424
19-Dec,419,1752,217,3433,3650
20-Dec,368,1355,1723,1050,2773
21-Dec,,,,,
