05/10/2020,2994
06/10/2020,3065
07/10/2020,2023
08/10/2020,2965
09/10/2020,2698
10/10/2020,740
11/10/2020,745
12/10/2020,2986
13/10/2020,2987
14/10/2020,2897
15/10/2020,2895
16/10/2020,2653
17/10/2020,600
18/10/2020,714
19/10/2020,2961
20/10/2020,2996
21/10/2020,2844
22/10/2020,2844
23/10/2020,2556
24/10/2020,656
25/10/2020,674
26/10/2020,2797
27/10/2020,2919
28/10/2020,2777
29/10/2020,2705
30/10/2020,2399
31/10/2020,641
01/11/2020,671
02/11/2020,2848
03/11/2020,2090
04/11/2020,2909
05/11/2020,2728
06/11/2020,
07/11/2020,
08/11/2020,736
